param_n_neighbors,param_weights,param_p,mean_test_score,rank_test_score
24,uniform,1,0.7825,1
25,uniform,1,0.78125,2
26,uniform,1,0.78125,2
27,uniform,1,0.78,4
8,uniform,1,0.7775000000000001,5
33,uniform,1,0.7775,6
22,uniform,1,0.7775,6
45,uniform,2,0.77625,8
39,uniform,2,0.7762499999999999,9
26,distance,2,0.775,10
23,uniform,1,0.775,10
29,uniform,1,0.775,10
30,uniform,1,0.775,10
21,uniform,1,0.7749999999999999,14
44,uniform,2,0.7737499999999999,15
28,uniform,1,0.7737499999999999,15
25,distance,2,0.7737499999999999,15
20,uniform,1,0.7737499999999999,15
21,distance,1,0.7725000000000002,19
32,uniform,1,0.7725000000000001,20
8,uniform,2,0.7725,21
58,distance,2,0.7725,21
34,uniform,1,0.7725,21
37,uniform,2,0.7725,21
24,distance,2,0.7725,21
25,distance,1,0.77125,26
15,uniform,1,0.77125,26
6,uniform,1,0.77125,26
40,uniform,2,0.77125,26
38,uniform,2,0.77125,26
34,uniform,2,0.77125,26
35,uniform,1,0.77125,26
35,uniform,2,0.77125,26
60,distance,2,0.77125,26
56,distance,2,0.77,35
9,distance,1,0.77,35
24,uniform,2,0.77,35
24,distance,1,0.77,35
47,uniform,2,0.7699999999999999,39
36,uniform,1,0.7699999999999999,39
59,distance,2,0.7699999999999999,39
10,uniform,1,0.7699999999999999,39
50,uniform,1,0.7699999999999999,39
43,uniform,1,0.7699999999999999,39
57,distance,2,0.7699999999999999,39
43,uniform,2,0.76875,46
42,uniform,1,0.76875,46
41,uniform,2,0.76875,46
31,uniform,1,0.76875,46
39,uniform,1,0.76875,46
19,uniform,1,0.76875,46
37,uniform,1,0.76875,46
18,distance,1,0.76875,46
48,uniform,1,0.76875,46
36,uniform,2,0.76875,46
5,uniform,1,0.76875,46
10,distance,1,0.76875,46
55,uniform,2,0.76875,46
61,distance,2,0.76875,46
38,uniform,1,0.7687499999999999,60
14,uniform,1,0.7687499999999999,60
26,distance,1,0.7687499999999999,60
23,distance,2,0.7675000000000001,63
74,distance,1,0.7675000000000001,63
46,uniform,2,0.7675000000000001,63
52,uniform,1,0.7675000000000001,63
4,uniform,1,0.7675000000000001,63
29,distance,1,0.7675000000000001,63
70,distance,1,0.7675000000000001,63
77,distance,1,0.7675000000000001,63
49,uniform,1,0.7675000000000001,63
72,distance,1,0.7675000000000001,63
66,distance,1,0.7675,73
31,distance,1,0.7675,73
12,uniform,1,0.7675,73
55,distance,2,0.7675,73
32,uniform,2,0.7675,73
62,distance,2,0.7675,73
47,distance,2,0.7675,73
27,distance,1,0.7675,73
48,uniform,2,0.7675,73
45,uniform,1,0.7675,73
56,uniform,2,0.7674999999999998,83
66,distance,2,0.7662500000000001,84
23,uniform,2,0.7662500000000001,84
42,uniform,2,0.7662500000000001,84
25,uniform,2,0.7662500000000001,84
22,uniform,2,0.7662500000000001,84
49,uniform,2,0.7662500000000001,84
20,distance,1,0.7662500000000001,84
52,distance,1,0.76625,91
63,distance,1,0.76625,91
51,distance,1,0.76625,91
76,distance,1,0.76625,91
17,uniform,1,0.76625,91
62,distance,1,0.76625,91
48,distance,2,0.76625,91
53,distance,1,0.76625,91
61,distance,1,0.76625,91
60,distance,1,0.76625,91
41,uniform,1,0.76625,91
45,distance,1,0.76625,91
75,distance,1,0.76625,91
22,distance,1,0.76625,91
23,distance,1,0.76625,91
57,distance,1,0.76625,91
33,uniform,2,0.76625,91
54,distance,2,0.76625,91
57,uniform,2,0.76625,91
11,uniform,1,0.76625,91
45,distance,2,0.76625,91
9,uniform,1,0.76625,91
68,distance,1,0.76625,91
68,distance,2,0.76625,91
35,distance,1,0.765,115
69,distance,1,0.765,115
71,distance,1,0.765,115
33,distance,2,0.765,115
73,distance,1,0.765,115
51,uniform,2,0.765,115
64,distance,1,0.765,115
96,distance,1,0.765,115
51,uniform,1,0.765,115
95,distance,1,0.765,115
94,distance,1,0.765,115
93,distance,2,0.765,115
54,uniform,2,0.765,115
47,uniform,1,0.765,115
46,distance,2,0.765,115
21,distance,2,0.765,115
58,distance,1,0.765,115
59,distance,1,0.765,115
78,distance,1,0.765,115
90,distance,2,0.765,115
4,uniform,2,0.765,115
11,distance,1,0.765,115
35,distance,2,0.765,115
56,uniform,1,0.7649999999999999,138
59,uniform,2,0.7649999999999999,138
40,uniform,1,0.7649999999999999,138
84,distance,1,0.7637500000000002,141
58,uniform,2,0.7637500000000002,141
